DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,SAT Overall Avg
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384,390.7
26Q495,BAYSIDE HIGH SCHOOL,708,462,523,464,483.0
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420,426.3
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,373,381.7
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401,417.3
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364,385.3
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,423,426,416,421.7
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348,364.7
27Q323,SCHOLARS' ACADEMY,89,499,537,496,510.7
27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,360,369.3
27Q410,BEACH CHANNEL HIGH SCHOOL,78,384,396,354,378.0
27Q475,RICHMOND HILL HIGH SCHOOL,404,382,404,368,384.7
27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,397.3
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425,448.3
28Q284,YORK EARLY COLLEGE ACADEMY,,,,,#DIV/0!
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,400,421.7
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,,,,,#DIV/0!
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,403,408,367,392.7
28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425,435.7
28Q440,FOREST HILLS HIGH SCHOOL,762,456,497,454,469.0
28Q470,JAMAICA HIGH SCHOOL,90,342,368,353,354.3
28Q505,HILLCREST HIGH SCHOOL,462,395,413,386,398.0
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,452,478,442,457.3
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502,512.7
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,,,,,#DIV/0!
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,596,622.7
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,384,398.7
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68,439,445,432,438.7
29Q248,QUEENS PREPARATORY ACADEMY,52,360,380,359,366.3
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,401,397,375,391.0
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402,400.7
